Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,-0.037089612646163866,0.02539745504671467,0.10081296337184398,
0.01015698,-0.002856633316088819,0.01265651859850989,0.16492618856856822,
0.02004047,-0.0022853066528710497,-0.06265851455520546,0.16641742180212127,
0.030073388,-0.02864330212313912,-0.08460331835421686,0.07950387152372862,
0.04023016,6.969610819036742E-5,-0.09832843643882089,-0.024503439646251124,
0.050138546,-0.007605693022657914,0.028597486993009152,-0.09621713159981304,
0.060281776,0.020730502382715954,0.08800027507967498,-0.06548154829742892,
0.070170163,0.035738020718733804,0.08955383291583655,0.08552064515111901,
0.080380685,0.03625186648419726,0.0141822270313215,-0.015859301750198895,
0.090384957,-0.016967182426045502,-0.023130722849821112,-0.18123907714234733,
0.100389437,-0.055711696599634625,-0.12193408797920154,-0.3441894123486442,
0.110398136,-0.03307718837635687,-0.06690149458837832,-0.3826116617148525,
0.120297824,3.5330609975678384E-4,-0.0037217980829264696,-0.1796748396257879,
0.130560846,0.06157420243023573,0.0736370159222773,0.08227254895366798,
0.140469649,0.04542864295004795,0.150846958004164,0.16158601401645,
0.150524546,-0.0019643113441547566,0.05938600289243643,0.06797730730690965,
0.160552672,-0.04370939973412202,0.02069374253287462,-0.1409848228556445,
0.170447621,-0.03879823878143823,-0.10985885496986272,-0.05532707337240694,
0.180689184,-0.03486931597975569,-0.1223635847254782,0.04767559716144909,
0.1906558,-0.035556896732550275,-0.06724509198539966,0.18370779950650373,
0.200729863,0.05583037797109175,-0.03081173578161807,0.21974990049387522,
0.210745593,0.06381792118943444,0.04813434378895115,0.2102763913423651,
0.220694188,0.0012549423440036123,0.061491811347746464,0.1490675181031893,
0.230824502,-0.014318939982753048,0.02620911276161163,0.1115925764942709,
0.240623617,-0.015285876940807547,-0.02117066044950891,-0.01798607064052149,
0.250805598,-0.031382314404742595,-0.02459797230835286,-0.06035748444210398,
0.260851432,-0.02893657051793469,-0.01584765587230942,-0.02913239258298006,
0.270704454,0.04197303205115213,-0.008847402723474673,-0.007983038089822259,
0.280725548,0.05273203253255379,0.031229305760587557,0.005105726510564068,
0.290968102,-0.01910593748485173,0.028814167327900972,-0.06869907968022027,
0.301083884,-0.00762330007867118,0.065189284521119,-0.08943573469144184,
0.311024249,0.024547135732045977,0.025336367835820675,-0.10985577769455901,
0.320835292,-0.018669517118556328,-0.010376687486790848,-0.2104676299681465,
0.330843939,-0.08005789768999659,-0.0351164097705072,-0.21434273190420505,
0.34087545,-0.029569815912293143,-0.06256962856599378,-0.13699771457609877,
0.350904618,0.05678932363315681,-0.06920932166535607,-0.06746026272533179,
0.360912536,0.045431458906525446,0.002093387184469303,0.06861479763223421,
0.370940974,0.09763673063611514,0.020828322599672003,0.19662844088898979,
0.381004517,0.009156383009716107,0.07029277466165441,0.18794850466431612,
0.391017799,-0.05396646306358638,0.12135650521459118,0.1580202417197345,
0.401139987,-0.07381895220631648,-0.006344307762845872,0.13024691236992858,
0.411048634,-0.016917211106254965,-0.03572122722066603,0.08887465391938143,
0.4212215,0.01711201287044342,-0.06305348550635308,0.09025331810620862,
0.431238688,0.08264262371645972,-0.07725785116638922,0.03772618353770163,
0.441276971,0.027806873268974658,-0.031160499177663996,0.04933454180086372,
0.451152649,-0.035215345901574435,0.08999328373091264,0.01648331947584758,
0.461203223,-0.05115661452796122,0.006872341499462472,0.051493845522085024,
0.471215515,-0.033263847673623254,0.03614365495501737,-0.10820296435381671,
0.481460673,-0.003626740332196954,0.0135920330862902,-0.20148394130727176,
0.491403226,0.03157510848383044,0.010873626469032161,-0.20332506198136358,
0.501284581,0.02142936779292373,0.0048681784557948055,-0.08987638869641934,
0.51148953,0.005651325330988166,-0.01908979429700776,-0.09488542492197993,
0.521334062,-0.006971108638560292,-0.01527183543760621,-0.14486128183211555,
0.531498021,-0.02473049976294478,-0.03520180317655439,-0.2231499202410827,
0.541517345,0.02618426984258304,-0.005177107714774094,-0.13638126431786723,
0.551543648,-0.021190528824267307,-0.004141686171819276,-0.032490631571482353,
0.561598493,-0.005460254156063021,0.03499387900191188,0.10808265953773599,
0.571612504,-0.042675434989508,0.03565654789533329,0.11328116058917281,
0.581516255,-0.0303096230370013,-0.028935600240023042,0.025502705570946915,
0.591665319,0.02172097718380228,-0.03847137404997437,0.05104791640988182,
0.601671622,0.0633454454395162,-0.026946374285374393,0.20555924987595198,
0.611696675,0.031522749459980876,0.03207301789867535,0.23340034179529212,
0.621750374,-0.028411919994164342,0.025658414318940285,0.2595039343249059,
0.631782094,-0.0035759231432349325,0.012865286016290382,0.16546523852437822,
0.641792928,-0.018183626412079407,-0.01652283022298416,-0.03617944492268421,
0.651703033,0.016098874665319396,0.0404118538936456,-0.12088081179752308,
0.661828555,-0.006274507159376552,0.005514424078900015,0.037370515356903056,
0.671888712,0.0371183389708325,0.05804165659009489,0.14481798210974084,
0.681941317,0.01054106428503393,-0.018688960213191733,0.11202366669365205,
0.691945277,-0.01455148637867451,-0.01878189014492625,-0.15171636327593774,
0.701818819,-0.023133358006290433,-0.07631707562683579,-0.34738551127504635,
0.711997935,-0.02999885530838317,-0.01125426589392468,-0.30855492391261485,
0.721856322,-0.008676196349215085,-0.028157025567236302,-0.09744513541915367,
0.732073875,-0.006940957079372076,0.01195088327603121,0.12124127935998885,
0.742086167,0.040415909949905654,0.032545042937410514,0.08167014751142787,
0.75195596,0.0208405590565737,0.05285109264088682,0.05001324203258051,
0.762139711,0.009010997336048765,0.01546581582175105,0.05916418859676753,
0.772163045,-0.01577553397739817,0.05834132678068804,-0.006298715040554015,
0.782194348,-0.050927652886111646,0.012196554714497945,0.05625253187380608,
0.792224974,-0.013927065508047037,-0.024719259958221898,0.1331085623642796,
0.802270913,-0.03412599021313929,-0.07340552454849433,0.0720103789441584,
0.812300549,0.011006439494146161,-0.05872441963879547,-0.08795901862201738,
0.822131331,0.05094309629365068,0.01048130359031136,-0.012906429985504175,
0.832143885,0.033093039046639294,0.046692270811616386,0.15822649175378345,
0.842267479,0.02264370032224186,0.09864537717995565,0.22234916825654238,
0.852382793,0.006622791354442659,0.05976268889186797,0.10892639271070337,
0.862394981,-0.013855373808077942,-0.03646574722386982,-0.18483993441542168,
0.872259253,-0.06088369663423854,-0.1594171717298634,-0.270454955344837,
0.882268525,-0.021891897526316303,-0.13136445637803135,-0.35810132999852584,
0.892471807,0.016962988688999453,-0.005492775887337174,-0.11026722732889915,
0.902335506,0.04804689766125206,0.10286601245396387,0.17227510973844318,
0.91254608,0.02694534922565084,0.13592292952532015,0.13782008779075383,
0.922401758,0.006233379562100266,0.032123889231637656,-0.02764981355645979,
0.932395092,-0.03332052205451291,-0.0662382309007998,-0.23664011451704248,
0.942624937,-0.018994967734400126,-0.10278998528864827,-0.23528148248277425,
0.952781397,-0.05733392484631833,-0.07457053832170842,-0.06947213422840726,
0.962825929,0.030747317491796045,-0.013687761004427895,0.15511183729500821,
0.972499419,-0.04435515942666815,0.031187742600313963,0.1738888167598347,
0.982527493,0.02197671697541964,0.028780916799682095,0.1544339293844299,
0.992769369,-0.0015722452322253222,0.09963918633824803,0.06225563960129499,
1.002910099,0.029387991530131607,0.02608123248868162,0.1723875194935367,
1.01261583,0.012018224320754459,0.055341489720765545,0.08427994967686203,
1.022822706,0.0019531295473933646,-0.036171984586378894,0.013793893823521586,
1.032887134,-0.06355978184735295,-0.036599031617848846,-0.02727207488258898,
1.042939635,-0.027863490651412928,-0.10972440761773489,-0.03714053588263333,
1.052708229,0.012185714188922142,-0.030318681577433768,-0.048866023676810144,
1.063117658,0.059547971919146125,0.04469806368780961,0.04135227993550572,
1.072898596,0.03997692762610669,0.07023495617018406,0.1288497988019195,
1.083104535,-0.0178178525066586,0.05235723998154215,-0.027164606759246368,
1.092997452,-0.02191573191453708,0.022732179133137163,-0.2056061971261478,
1.10304813,-0.04434764233247196,-0.06609015801108671,-0.22577646160716824,
1.11317459,-0.016324501013881013,-0.1294865837777201,-0.28022062607284326,
1.123211101,-0.013059600811104813,-0.038466972596211714,-0.07860841614147773,
1.133261727,0.05084388882247541,0.07265593311249138,0.03288124194033415,
1.142966311,0.07898233676217345,0.07727835934208967,0.15654943935304821,
1.153146364,-0.0019364250162255958,0.07331485339679034,0.15205458444142295,
1.163138709,-0.020702746904612546,-0.06010051934975219,0.05652144465274844,
1.17310371,-0.020392922478295133,-0.028926802627705195,-0.1463187939848325,
1.183057305,-0.02014506293724122,-0.08443299965259446,-0.13237791116442743,
1.193064389,-0.0046238814464421435,-0.07903856862542641,0.1277715297110369,
1.20340413,0.019285232649547956,0.0478600994928073,0.1635087276750795,
1.213119443,0.04607397383555023,0.08042602801786988,0.245728551964282,
1.223171736,0.04835133605086206,0.09115588517560268,0.21573643654212837,
1.233454185,-0.0034568758576440928,0.019294587833275034,0.0653290173977652,
1.243390228,-0.05639562024826433,1.1277938889633216E-4,-0.1584263307595215,
1.253405749,-0.052777940147357205,-0.06503206122909252,-0.15355609756660193,
1.263420073,-0.06137596496998232,-0.06734854284122996,-0.11901415905914092,
1.273446845,0.016021516489514026,-0.042386665369633134,-0.007104790382078008,
1.283446065,0.07793949569664663,0.07335090384835935,0.09391486154199313,
1.293470076,0.09682810326736979,0.08932650781436711,0.029163261303907007,
1.303483463,0.08512392060217708,0.05613831239353776,-0.030299456874843145,
1.313576068,-0.06597615348293426,0.041079927940457346,-0.3536821619354207,
1.323417111,-0.048950197831742315,-0.04758123401062546,-0.48214311724364833,
1.333440757,-0.07363666497544634,-0.09935655369962738,-0.4048680887656211,
1.343456019,-0.043586438122401136,-0.06416234910174598,-0.27026440509452776,
1.353473728,0.0034380752062722064,-0.047499154326791686,0.07875460141265833,
1.363495865,0.0525498607330262,0.011800068165878357,0.2622010688254388,
1.373536022,0.02671698876800055,0.043916559752639056,0.3974660857732424,
1.383573106,0.002219984122768359,0.03896397052154217,0.3524493395658599,
1.393596597,0.0017759872982146818,0.027340453697802816,0.20151437277573514,
1.403603994,-0.025394272922735023,-0.016434864236066982,0.14588862224402632,
1.413760401,-0.035638306235679484,-0.07060872994514326,-0.025025704987982067,
1.423688527,-0.03617209489775379,-0.04882554000736889,-0.020020563990385654,
1.433685351,0.04767678145064769,0.010738962601648833,-0.023677889180589773,
1.443709102,0.03431070616637755,0.027744783678473682,-0.1721710711100961,
1.453735353,0.008294946120540991,0.07199522080526484,-0.2105205177767484,
1.463757541,0.04877390159476652,0.011627505501156911,-0.16841641422139908,
1.473974574,7.118955716201025E-4,-0.0060208864767981665,0.02998778537092761,
1.483952075,-0.04539915319564275,0.04115196345173255,0.11975820315025842,
1.494077075,-0.04781149145986503,-0.047523604111489176,0.1800823803913012,
1.504004056,-0.011434130406585266,-0.08015683394798956,0.1708809372720257,
1.514252338,0.013837033481433447,9.96818326875995E-4,0.07924396490551189,
1.523917026,0.0034081768759365583,-0.033679049068319464,0.09404092387753415,
1.534038538,0.021880160313310276,0.053501936363277706,-0.02436595474562786,
1.544004372,-0.016972378459404275,0.05429371724891494,-0.09993786267345506,
1.554008123,0.009406435039178249,0.01661991476311549,-0.26382556479696717,
1.564025103,0.01518658601962386,0.013295931810492392,-0.30299770769694945,
1.57405375,0.03130288762826011,-0.04299337038846484,-0.23090600917513804,
1.584154064,0.005888691290047071,-0.04205614621998208,-0.22686271627565802,
1.594237763,-0.0029504849562435875,-0.01832202311802973,-0.23512023893849587,
1.604116566,-0.017683281822950814,-0.07594918200531857,-0.11148181126798384,
1.61417266,0.01649915629708673,-0.007129226042105807,-0.04321682108469993,
1.624185318,-0.013615731763172906,0.03643456684488133,0.07268743790763033,
1.634352558,-0.022384754313889144,0.05596271251192154,0.40674537879290185,
1.644340111,-0.014077084456970687,0.05626233816783,0.6088695086007281,
1.654246571,0.019384120150335332,0.02202553421767846,0.5752021437458161,
1.664424488,-0.011307766641038497,-0.028348245259028314,0.38354733511384076,
1.674300895,-0.0818299457270764,-0.10695450050505133,0.20723917424341565,
1.684465844,-0.027156730877468005,-0.07407143150069023,-0.021913891318156686,
1.69448897,0.02424328495096445,0.009695868219552803,-0.2128977817556965,
1.704505742,0.004071740063280108,-0.003735474327708585,-0.19330253936940167,
1.714541056,-0.004404051898121639,8.423454924382373E-4,-0.06270477563614563,
1.724442828,-0.01884612941598876,0.008335320342696323,-0.01568734956165052,
1.734487204,0.05004538493270887,-0.05462330723673772,0.1253560041397428,
1.744514236,0.005559801236114603,-0.03986792679524956,0.10411552230593557,
1.754530487,-0.0032136089203185225,0.0408893939582782,0.1292610457744363,
1.764683925,0.008921281767096015,-0.02474932636989935,0.11107027460783137,
1.774635801,0.02629064422623785,0.03383065846622957,0.07736406270384322,
1.784816375,-0.005782547380316472,0.007910913920887094,-0.03387672469044034,
1.794761324,-0.039102544614305665,-0.04347066943129875,-0.2569445194007898,
1.804752731,-0.015959141833488594,-0.05776087335174067,-0.3817694521905537,
1.81480268,0.03703208114075307,-0.011732191971340039,-0.3092462807465832,
1.824863306,0.0717636096109362,0.017429309184234743,-0.10565965887461104,
1.834851953,0.022934392899625428,0.09821934568475199,0.07636247065421742,
1.844875652,0.03750112121133242,0.07091403110893973,0.27944095918939027,
1.854823413,-0.03129066654182883,0.037577611289997176,0.2963364282401848,
1.864913675,-0.04801686507970024,-0.08102886983149904,0.14513188673277355,
1.874819509,-0.038413492063760185,-0.08014598376269069,-0.08309187830909437,
1.884997271,0.03822221380863236,-0.09859329372020506,-0.12393428755938452,
1.895007376,0.04973137793853799,0.06669282687209492,-0.2064075618834451,
1.905035866,-0.010014292256713547,0.04569281754893022,-0.019558727729412695,
1.915044097,-0.023334321702862287,0.05953858961067167,-0.11907639502532774,
1.92510665,0.004316880444411836,0.013154367213659021,-0.15272190093237192,
1.935127744,0.007284223349670105,-0.004799397106796471,-0.16814614867558397,
1.945160193,0.005827378679736095,-0.09577685699131487,-0.03874894408695084,
1.955024413,8.31183949648262E-4,-0.04980642879220962,0.1643675134316105,
1.965195352,-0.03381155955033388,-0.03218370504548644,0.13532472973942866,
1.975274571,-0.0538643044411094,-0.014254795133038331,0.04313756089115195,
1.98526452,-0.043091443552887534,-0.019065274094711912,0.11495514758987468,
1.99527723,0.03831057757193558,0.11499234871453351,0.007688300200806353,
2.005276137,-0.0038280446525040257,0.0345330374351049,0.1363950859614267,
2.015312596,0.0505676898006103,0.01613426104473309,0.11294678776328126,
2.025352649,0.009808364124576363,-0.05987631761799467,0.07886527322820314,
2.035383119,0.038492479015572956,-0.013424553344807716,-0.13610516911274928,
2.045412964,-0.01900541735555006,-0.09118481903883752,-0.036100474401527194,
2.055470986,-0.015204333884440036,0.01132804608652642,-0.005896065556378005,
2.065453903,-0.027486360965507967,0.024385324766712582,0.10254327939083474,
2.075492238,9.952490342952924E-4,0.06930765591103014,0.10118821848337056,
2.085497343,-0.022188138579265437,-0.021168328169678244,0.0732891367984152,
2.095544531,-0.04073484270964953,-0.04374971933658488,0.058631309438732515,
2.105547241,-0.005772817366877334,-0.0503226752876883,-0.014386456355264698,
2.115612085,0.0030431900552438523,-0.017273802423448975,-0.015339884078350963,
2.125642555,0.01392672094754592,-0.013819041938759186,0.11414181954395985,
2.135507452,-0.015673680042805546,0.07322067074682133,0.3441409092484484,
2.14565313,0.04875261947665033,0.0547458146230842,0.8460906204651657,
2.155545266,0.023679207683828807,0.0054894259942742385,2.0061335132178346,
2.165718705,0.053419860936186586,-0.0032699091137908115,3.35554691677544,
2.17578855,-0.018555668801481018,0.0663370831488401,4.607460757297305,
2.185759592,-0.11061260302695791,0.10286906112661602,4.486589638552688,
2.195758604,-0.26853405023481974,0.08612597087566569,3.6850389227562133,
2.205783865,-0.9043573386261188,-0.023036568565809615,1.607277964376845,
2.215843137,0.261009876188491,-0.3095641785491656,-2.9126486978344612,
2.225732044,0.024933210418108448,-0.3740652126971206,-5.130377594742178,
2.235972045,0.4987868955973652,-0.26094493253257445,-5.6480833563113215,
2.245918192,0.21898555686027743,0.3696831942937647,-5.181181452505113,
2.255817828,0.052605318466432405,0.2727622176283101,-4.355635088151551,
2.26582585,0.28725050881672504,0.1032880925197204,-4.7409850450085465,
2.275856633,0.08806366121902945,0.09795336489350003,-5.206324775356203,
2.285900331,-0.002332791518093097,0.19711510143256508,-5.157217041125417,
2.296052728,0.08240966810312197,0.1998300258443858,-3.972544730083561,
2.306123875,-0.03750178564765988,-0.1695781346856669,-1.9790195944916533,
2.316124189,-0.0874622670744176,0.048212182784150806,-0.5144439318189087,
2.325984502,-0.024001144006595226,-0.09933626869196036,0.04430079631733408,
2.336159711,0.034429210317337366,-0.10628407175441058,0.18866939681949235,
2.346161119,0.019881918344659688,-0.11950376411358096,1.0013562785639927,
2.356057318,0.023566984584937944,-0.09560301129086478,2.9845967568599834,
2.366321485,-0.05776086970090036,0.1648531200562822,5.080675147187206,
2.376125393,0.10702022493744562,0.35406440632143876,6.516203325757577,
2.386139144,0.13541557455750047,0.3407123814948341,7.266230330283797,
2.396296176,0.004902939515842891,0.05421870795313047,7.184381664129381,
2.406185968,-0.08418427465952721,-0.052393106838675124,6.157393026616006,
2.416428157,-0.18993054674941132,-0.29474217452256823,4.93740734121468,
2.426242377,-0.38944924749436244,-0.30474675303815957,3.172289154221744,
2.436449565,-0.41115818721057784,-0.41617992405986115,1.0400179078500518,
2.446300556,-0.1488825782299186,-0.23334515003280107,-1.2672212083879284,
2.456508578,0.12989091045378487,0.14659675134884306,-2.745263477940812,
2.466465922,0.2533109241065887,0.2628448688877979,-3.4105502293741345,
2.476537173,0.18732583946685055,0.2907210774336942,-4.23008355508134,
2.486421341,0.19199862819274316,0.052532884447947154,-4.705666041452767,
