Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,-0.17935674040576544,0.13843730542496396,0.6832720108239695,
0.004945,0.03464265943319944,-0.09419382450234448,1.4851447158979452,
0.009889,-0.6867153463303932,0.0050901108006512485,0.6575606198252898,
0.014834,0.13441144485951284,0.5193042940314512,0.7252460742904077,
0.019779,0.31055802551651723,0.6510328679415306,0.93070802886592,
0.024724,-0.24571709277038067,0.4020739101674335,0.053120977078331744,
0.029669,-0.020360600485835434,0.5993865413114371,-0.024540896102227094,
0.034614,0.5257586387519577,0.4546095119035198,-0.37205917428687196,
0.039558,0.18693305235898805,-0.40820300689411537,-1.040807563390374,
0.044503,0.2184993837817224,-0.22887897579727473,-0.9513984348980903,
0.049448,1.0309663466249877,-0.353570342770083,-1.1326988718198394,
0.054393,-0.473842187592588,-0.5912294393466817,-0.6303470437754517,
0.059338,-0.14156917243735023,-0.0611808781375016,-0.5157697920027833,
0.064283,0.20852582049738544,-0.38796366727745735,0.16390791145774042,
0.069227,-0.6203932413071698,-0.5382989047081963,0.15027994797875338,
0.074172,-0.5116374690222987,-0.04565150722755562,0.6661019514898447,
0.079117,-0.016660896848698314,0.15118420374478048,0.7435712966044735,
0.084062,-0.24317185712739509,-0.175933657073298,1.2575720431582127,
0.089007,-0.43778852329957196,0.3610777572923351,0.5846781637013748,
0.093952,0.3910144511357334,0.3846302700943509,0.839322654862467,
0.098896,0.360695166865618,0.6524692474132188,0.6025050866280108,
0.103841,-0.24582954765985043,0.6407278298000819,-0.0025823602935386436,
0.108786,0.021687344538134923,0.44362922657810266,-0.4023764045922529,
0.113731,0.4789518958941805,0.1039910487276921,-0.6436818231653032,
0.118676,0.021158190299328083,-0.35159417216439176,-0.846302967430024,
0.123621,0.6106887592707118,-0.08782384375301305,-1.1712056487090339,
0.128565,0.6877483951118819,-0.6486981855199123,-0.8967418741613189,
0.13351,-0.395989638402682,-0.6453724182737179,-0.4415814933323511,
0.138455,0.016481604707541564,0.22494690600297387,-0.42413354374119827,
0.1434,-0.2760343817613098,-0.6991933426597792,0.17975608343164773,
0.148345,-0.5579315398328752,-0.2873733394415441,0.33917172022088893,
0.15329,-0.44059877190536234,0.15317358548869586,0.3977512341135703,
0.158234,0.17999168560070977,-0.19732647756393834,1.1705367741103143,
0.163179,-0.58192904531826,0.1026279598899199,0.9613290927501655,
0.168124,-0.017348351000702422,0.5609427070957433,0.3725835245205671,
0.173069,0.3672782405861561,0.37022435477113813,1.2021173128568101,
0.178014,-0.09499576690607547,0.6237062677600868,0.17256506992045784,
0.182959,-0.19283392431587565,0.5315261733419806,-0.3465344213432968,
0.187903,0.3398963737308929,0.34286038493212945,-0.22934350196416387,
0.192848,0.4059922637796358,-0.12985293336632342,-0.9840958342861749,
0.197793,0.1294271423225375,-0.241788364592572,-1.1167188347110444,
0.202738,0.7241181909088112,-0.04977858932286894,-0.7822841215713259,
0.207683,0.1464233063891598,-0.7561680386183294,-0.8116173115240285,
0.212628,-0.23911898428320377,-0.23526966649036662,-0.7354851219548185,
0.217572,0.05961728815937484,-0.24376120629104822,-0.12487067011939679,
0.222517,-0.18981074710921852,-0.7811095433409441,0.28700647272310903,
0.227462,-0.7781715346990943,-0.05027923718892957,0.28898137921207945,
0.232407,-0.08623656857958828,0.2355886490281151,0.9207151720056042,
0.237352,-0.1590107697562484,-0.19843208959613434,1.2249892861945713,
0.242297,-0.6539336219085143,0.3162639604336882,0.5586119581304617,
0.247241,0.20660621526615763,0.3315409792524071,1.1249274960392817,
0.252186,0.35299020292581673,0.6483050404438568,0.4345091622061811,
0.257131,-0.11983333204411295,0.45160640227390875,0.4912594827800816,
0.262076,-0.13417385557669625,0.4513071135488633,-0.47273578860045873,
0.267021,0.6281597253530968,0.34380745536545787,-0.378188630880367,
0.271966,0.02560212110279103,-0.33212361020676395,-1.0974258827697845,
0.27691,0.28288632945059256,-0.13353895471757338,-0.7515268363580395,
0.281855,0.8813627744979744,-0.3826432085137819,-1.292666915100836,
0.286617,-0.1395837000793545,-0.3176067237934474,-0.5514624619817918,
0.291745,-0.14805917197754503,-0.38624530354189907,-0.49096936419297743,
0.29669,0.22440239386327754,-0.43732544834651976,-0.3219071422790646,
0.301635,-0.5770462306613311,-0.49734318300277736,0.29026763282019624,
0.306579,-0.5784735323806274,-0.1469622138674318,0.5903866838757097,
0.311524,-0.054806871558799486,0.23868742914714347,0.9166732034161805,
0.316469,-0.4326638566220389,-0.12891540263718027,1.0283042113840675,
0.321414,-0.3212317933054436,0.4714760753740815,0.6311072286653595,
0.326359,0.4287140282462705,0.3465350845042823,1.000964369510657,
0.331304,0.16484317083920352,0.5434632999566363,0.3200157850067189,
0.336249,-0.1937373407700438,0.5305387101862564,0.24260511152588293,
0.341193,0.27979711468865176,0.46656892476826783,-0.46288486200457446,
0.346138,0.34258998056928114,-0.07493942357421018,-0.47182205023674684,
0.351083,0.07487459676011277,-0.15188888710594256,-0.8926898336593987,
0.356028,0.6498311654451996,-0.05638881823902192,-0.9574027614740278,
0.360973,0.1674380219557694,-0.5220360342779546,-1.0742954219935534,
0.365918,-0.11121559806038483,-0.32186075720141644,-0.5127558871553897,
0.370862,-0.10429535442487037,-0.2728115055795536,-0.4791577469862746,
0.375807,-0.1600506634227088,-0.6970895555683791,0.2870502827817403,
0.380752,-0.612626864966682,-0.48488788819859985,0.3483926335079831,
0.385697,-0.3196341152643605,0.10625291652241892,0.2729680163942466,
0.390642,0.0699038222904651,0.06967943339951471,1.1779704748219404,
0.395587,-0.5838077771285661,-0.061093501810966844,1.0496366070609215,
0.400531,0.032862988502225576,0.5276489793739805,0.619442752750788,
0.405476,0.29827220232521867,0.5159718942230613,0.7847737723605426,
0.410421,-0.2306456963917789,0.5966522178320625,0.2390006585134341,
0.415366,-0.073425706283345,0.507967526218775,-0.4600223697651805,
0.420311,0.644196751867856,0.4714963392428423,-0.603607340449443,
0.425256,0.31424427283217504,-0.22039569518869204,-1.1513469686463282,
0.4302,0.2341575642618352,-0.12077107560161818,-0.6816574470484101,
0.435145,0.9036712662532178,-0.1157704733333911,-0.8996677506990309,
0.44009,-0.19260558953648932,-0.6365790063160202,-0.8442327586036584,
