Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
5.305269462,0.01761754018393502,0.019383265178551046,0.04962489762901967,
5.311027692,0.014094032147147995,0.015506612142840825,-0.021100252795221763,
5.320523308,0.01127522571771844,0.012405289714272683,-0.0168802022361767,
5.329979769,0.009020180574174752,0.009924231771418157,-0.01350416178894065,
5.339977462,0.007216144459339824,0.007939385417134515,0.049996841467285336,
5.350193769,0.005772915567471837,0.006351508333707623,-0.02080269772460852,
5.360016923,0.0046183324539774695,0.005081206666966098,-0.016642158179687172,
5.369994616,0.00369466596318202,0.0040649653335728675,-0.013313726543749738,
5.380047154,0.002955732770545616,0.003251972266858305,0.050149189663438065,
5.389977077,0.063964603764044,0.002601577813486633,-0.020680819167687048,
5.400389231,-0.010428334536372263,0.0020812622507893064,0.04425551556428786,
5.410479923,-0.008342667629097855,0.001665009800631445,-0.025395758447006145,
5.419996077,-0.006674134103278329,0.0013320078405051339,0.040483564140831874,
5.429996692,-0.005339307282622663,0.001065606272404096,-0.028413319585771646,
5.439986539,-0.004271445826098175,8.524850179232879E-4,0.03806951522981983,
5.450166923,-0.0034171566608784953,6.819880143386081E-4,0.030455612183855507,
5.460017692,-0.002733725328702752,5.455904114708976E-4,0.02436448974708405,
5.469994385,-0.002186980262962157,4.36472329176707E-4,-0.041308579100769904,
5.479983308,-0.0017495842103697479,3.491778633413767E-4,0.027753307617821577,
5.489986616,-0.001399667368295776,2.7934229067311245E-4,-0.038597524804179884,
5.500282616,-0.0011197338946365987,2.2347383253851216E-4,-0.030878019843344262,
5.510257769,-8.957871157092567E-4,1.7877906603080973E-4,-0.0247024158746747,
5.519999077,-7.16629692567361E-4,1.4302325282467E-4,-0.019761932699738693,
5.529984231,-5.733037540538444E-4,1.1441860225974709E-4,-0.015809546159790244,
5.539995154,-4.586430032430533E-4,9.153488180779767E-5,-0.01264763692783255,
5.553892231,-3.669144025943982E-4,7.322790544622704E-5,-0.01011810954226533,
5.560213539,-2.93531522075563E-4,5.8582324356959425E-5,-0.008094487633812264,
5.570513616,0.06136519232994697,4.6865859485545336E-5,-0.006475590107049456,
5.580454616,-0.012507863683649867,3.749268758845847E-5,-0.0051804720856392095,
5.589980308,-0.010006290946919849,2.999415007076678E-5,-0.004144377668511723,
5.601030539,-0.008005032757535835,2.399532005659122E-5,-0.003315502134809023,
5.610007462,-0.006404026206028646,1.919625604529518E-5,-0.002652401707846863,
5.619992,-0.005123220964822872,1.5357004836236143E-5,-0.0021219213662764247,
5.629997769,-0.00409857677185832,1.2285603869011119E-5,-0.0016975370930207845,
5.640485923,-0.003278861417486678,9.828483095219998E-6,0.05944214122402158,
5.650480231,-0.0026230891339893425,7.8627864761871E-6,-0.013246457919219523,
5.660138231,-0.0020984713071914296,6.290229180971885E-6,0.05020300456306259,
5.670134923,-0.0016787770457531437,5.032183344799712E-6,-0.020637767247986716,
5.680003846,-0.0013430216366024927,4.025746675850872E-6,0.04428995710004813,
5.689987462,-0.0010744173092820386,3.220597340702902E-6,-0.025368205218398998,
5.700001231,-8.595338474256531E-4,2.5764778725512194E-6,-0.0202945641747192,
5.710142769,-6.876270779405669E-4,2.06118229806318E-6,-0.016235651339775004,
5.719990923,-5.501016623524757E-4,1.6489458384283395E-6,-0.012988521071820358,
5.729993154,-4.4008132988193616E-4,1.3191566707315694E-6,-0.010390816857455576,
5.740056923,-3.520650639055045E-4,1.055325336563051E-6,0.05248751741247304,
5.752588231,-2.816520511244036E-4,8.442602692504408E-7,0.04199001392997914,
5.760003385,-2.2532164089950069E-4,6.754082154114549E-7,0.033592011143984024,
5.769987308,-1.8025731271964496E-4,5.403265723180617E-7,-0.03392656198325028,
5.781068,-1.4420585017571597E-4,4.322612578433471E-7,0.033658921311836565,
5.790505923,-1.1536468014061718E-4,3.4580900626357547E-7,-0.03387303384896789,
5.800543154,-9.229174411251595E-5,2.7664720503306484E-7,-0.027098427079174314,
5.810152077,-7.383339528999056E-5,2.213177640042474E-7,0.03912142923509876,
5.819970539,-5.906671623201465E-5,1.7705421118119347E-7,-0.029503027510358493,
5.830422539,-4.725337298561172E-5,1.416433689227503E-7,-0.02360242200828644,
5.840803308,-3.7802698388489375E-5,1.1331469512709802E-7,-0.01888193760662915,
5.852611385,-3.024215871083591E-5,9.065175610167842E-8,-0.015105550085303676,
5.860093231,0.06157582382063875,7.252140488134273E-8,-0.012084440068242941,
5.869977231,-0.012339358491096464,5.8017123882869726E-8,-0.009667552054594353,
5.879987693,-0.009871486792877193,4.641369910629578E-8,-0.007734041643674416,
5.890372539,0.053702828113305734,3.7130959307241085E-8,-0.006187233314939533,
5.900003846,-0.018637755056962857,2.9704767423588407E-8,-0.004949786651950561,
5.909996693,-0.014910204045570308,2.3763813916666265E-8,-0.003959829321560804,
5.920134693,-0.01192816323645629,1.9011051122230782E-8,-0.0031678634572482878,
5.929992462,-0.009542530589164988,1.5208840908886856E-8,-0.0025342907657979197,
5.941265385,-0.0076340244713319905,1.2167072738211715E-8,-0.00202743261263727,
5.949977693,-0.006107219577065615,9.733658212773832E-9,-0.0016219460901094607,
5.960071846,-0.004885775661652492,7.786926548014605E-9,0.05950261402634993,
5.970193154,-0.003908620529321949,6.229541216207224E-9,-0.0131980796773572,
5.980009,-0.003126896423457537,4.983632950761319E-9,-0.010558463741885404,
5.990175693,-0.0025015171387660073,3.986906360609055E-9,-0.008446770993508323,
6.000119769,-0.002001213711012806,3.189525088487244E-9,-0.006757416794807014,
6.009995231,-0.001600970968810289,2.5516200818920254E-9,-0.005405933435845611,
6.020007769,-0.0012807767750482313,2.0412960766158506E-9,-0.0043247467486757785,
6.029993308,0.0605753961275689,1.6330368723949107E-9,-0.003459797398940978,
6.039986462,-0.013139700645552255,1.306429520120389E-9,0.05803233297928401,
6.049985231,-0.01051176051644176,1.0451436383007717E-9,-0.01437430451501065,
6.060207154,-0.008409408413153407,8.361148995383871E-10,-0.011499443612008164,
6.070656616,-0.006727526730522682,6.688919418351702E-10,0.05160061600883026,
6.080000077,-0.005382021384418123,5.351135645703664E-10,-0.019519678091372228,
6.090003616,-0.004305617107534521,4.280908405540629E-10,-0.015615742473096716,
6.099995693,-0.0034444936860276165,3.4247266134102006E-10,0.04830757691996013,
6.109993693,-0.002755594948822049,2.739781179705858E-10,-0.022154109362469754,
6.119982616,0.05939554158854987,2.1918250547869889E-10,0.04307688340846205,
6.129983077,-0.01408358427676748,1.7534601548518935E-10,0.034461506726769287,
6.140274462,-0.011266867421414029,1.40276790183691E-10,-0.033230965517022426,
6.149966846,-0.009013493937131245,1.1222145435141329E-10,-0.02658477241361723,
6.159984769,0.05438922239790245,8.977718568559112E-11,-0.02126781793089272,
6.17036,-0.01808863962928542,7.182177075293339E-11,-0.01701425434471382,
6.179974154,-0.01447091170342829,5.745742770457696E-11,-0.013611403475771056,
6.189994308,-0.011576729362742677,4.596595326589181E-11,0.049911048117820656,
6.199973,-0.00926138349019412,3.6772751510483204E-11,0.03992883849425688,
6.210026693,-0.7426091304432785,-0.12239999768176346,-0.028857100103031996,
6.219985385,-0.2876872913846521,-0.2819200134041998,0.03771449081601119,
6.229979539,0.5050501905434015,-0.1031359891703203,-0.09222830969093998,
6.239998154,0.5272401577276137,0.2854912063987673,0.048617254590997305,
6.250256923,0.23779211688376634,0.28919296316398146,-0.021906367225639656,
6.260450923,-0.05536631545752546,-0.013445633831874804,-0.01752509378051137,
6.269992231,0.01730696518158703,-0.010756507065499854,-0.014020075024408385,
6.280332231,-0.04775444540233775,-0.008605205652399861,-0.011216060019526353,
6.292382923,-0.038203556321870225,-0.006884164521919867,0.05182732288281677,
6.301184923,-0.03056284505749618,-0.0055073316175359155,-0.019338312592184437,
6.310081231,-0.02445027604599692,-0.004405865294028755,-0.015470650073746484,
6.319976077,-0.019560220836797537,-0.0035246922352230037,0.04842365083944067,
6.329982616,0.04595184087816939,-0.002819753788178392,-0.02206125022688532,
6.340568385,-0.024838544845071864,-0.0022558030305427357,-0.01764900018150861,
6.350309923,-0.019870835876057535,-0.0018046424244341774,-0.014119200145206179,
6.359973769,-0.01589666870084605,-0.001443713939547342,0.0495048107822722,
6.370026077,0.048882682586930626,-0.0011549711516378736,0.03960384862581812,
6.379971616,0.039106146069544545,-9.239769213102988E-4,-0.029117091997783007,
6.390035923,0.031284916855635614,-7.391815370482169E-4,-0.02329367359822676,
6.401223616,-0.036572084063098975,-5.913452296385513E-4,-0.018634938878580698,
6.409975769,-0.15165766496166078,-4.7307618371084104E-4,-0.014907951102864914,
6.423983,-0.5501261426504811,-0.12277845865815029,0.7848738710513015,
6.429979539,-0.6241009293791739,0.08577723641133989,0.1374991639797134,
6.439972154,-0.6832806633946966,0.37422178855686733,-0.13560079699005634,
6.450082462,-0.5466245307157573,0.23777743117927988,0.7499193257868608,
6.459985077,-1.2340996657713363,-0.60577804098988,-0.1360646004056676,
6.473405154,-0.43527968684070184,0.2505775521162,-2.0696518512229716,
6.479984385,-0.10342375405019832,0.20046204169296,-0.18532124294126717,
6.490021077,0.4076609296211695,-0.3292303664310553,1.0165425051587054,
6.500424539,3.0221288428790647,0.34861570733199293,4.552434596167981,
